key,College ,Course ,value
LLLLLLLL,D'Amore-McKim School of Business,ACCT1201,15
MMMMMMMM,D'Amore-McKim School of Business,ACCT1201,26.75
NNNNNNNN,D'Amore-McKim School of Business,ACCT1201,11.5
OOOOOOOO,D'Amore-McKim School of Business,ACCT1201,10
PPPPPPPP,D'Amore-McKim School of Business,ACCT1201,4.5
QQQQQQQQ,D'Amore-McKim School of Business,ACCT1201,15.75
RRRRRRRR,D'Amore-McKim School of Business,ACCT1201,9
SSSSSSSS,D'Amore-McKim School of Business,ACCT1201,7
TTTTTTTT,D'Amore-McKim School of Business,ACCT1201,27.5
UUUUUUUU,D'Amore-McKim School of Business,ACCT1201,8
VVVVVVVV,D'Amore-McKim School of Business,ACCT1201,1
WWWWWWWW,D'Amore-McKim School of Business,ACCT1201,3.5
XXXXXXXX,D'Amore-McKim School of Business,ACCT1201,32
(blank),D'Amore-McKim School of Business,ACCT1201,2
AAAAAAAAA,D'Amore-McKim School of Business,ACCT1209,53
TTTTTTTT,D'Amore-McKim School of Business,ACCT1209,3
BBBBBBBBB,D'Amore-McKim School of Business,ACCT2301,18.25
CCCCCCCCC,D'Amore-McKim School of Business,ACCT2301,1.5
DDDDDDDDD,D'Amore-McKim School of Business,ACCT2301,16.25
EEEEEEEEE,D'Amore-McKim School of Business,ACCT2301,1
FFFFFFFFF,D'Amore-McKim School of Business,ACCT2301,10.25
GGGGGGGGG,D'Amore-McKim School of Business,ACCT2301,2
HHHHHHHHH,D'Amore-McKim School of Business,ACCT2301,5.5
IIIIIIIII,D'Amore-McKim School of Business,ACCT2301,18.75
JJJJJJJJJ,D'Amore-McKim School of Business,ACCT2301,16
(blank),D'Amore-McKim School of Business,ACCT2301,1
KKKKKKKKK,D'Amore-McKim School of Business,ACCT3401,24.25
LLLLLLLLL,D'Amore-McKim School of Business,ACCT4501,6.75
OOOOOO,College of Social Sciences and Humanities,ARAB1101,9.5
PPPPPP,College of Social Sciences and Humanities,ARAB1102,3
OOOOOO,College of Social Sciences and Humanities,ARAB2101,1.5
OOOOOO,College of Social Sciences and Humanities,ARAB2102,3.5
E,"College of Arts, Media and Design",ARCH2130,1
F,"College of Arts, Media and Design",ARTF2220,0.5
O,College of Science,BIOL1107,151
P,College of Science,BIOL1111,418.25
(blank),College of Science,BIOL1111,3
P,College of Science,BIOL1112,9.5
P,College of Science,BIOL1113,20
P,College of Science,BIOL1114,3.75
Q,College of Science,BIOL2217,80.75
R,College of Science,BIOL2218,9.75
Q,College of Science,BIOL2218,0.5
S,College of Science,BIOL2218,3
T,College of Science,BIOL2299,1
U,College of Science,BIOL2299,5.25
V,College of Science,BIOL2299,1
W,College of Science,BIOL2301,53.25
X,College of Science,BIOL2301,38
W,College of Science,BIOL2302,35
(blank),College of Science,BIOL2302,1
Y,College of Science,BIOL2309,1
Z,College of Science,BIOL2309,37
AA,College of Science,BIOL2309,1
BB,College of Science,BIOL2309,2.75
CC,College of Science,BIOL3405,1.75
U,College of Science,BIOL3421,25
DD,College of Science,BIOL3611,145.75
DD,College of Science,BIOL3612,22.75
EE,College of Science,BIOL3612,3
FF,College of Science,BIOL4707,47.25
GG,College of Science,BIOL4707,25
HH,College of Science,CHEM1101,77.5
II,College of Science,CHEM1151,25.25
JJ,College of Science,CHEM1151,43.75
KK,College of Science,CHEM1151,18.75
LL,College of Science,CHEM1151,38.75
(blank),College of Science,CHEM1151,1
MM,College of Science,CHEM1161,431.5
LL,College of Science,CHEM1161,65.5
NN,College of Science,CHEM1162,8.25
NN,College of Science,CHEM1211,25.25
NN,College of Science,CHEM1212,1.75
OO,College of Science,CHEM1214,8.75
NN,College of Science,CHEM1215,0.5
PP,College of Science,CHEM2311,112
QQ,College of Science,CHEM2311,232.25
RR,College of Science,CHEM2311,34.25
SS,College of Science,CHEM2311,107.25
(blank),College of Science,CHEM2311,4
TT,College of Science,CHEM2312,35.5
(blank),College of Science,CHEM2312,1
QQ,College of Science,CHEM2313,157.25
UU,College of Science,CHEM2313,38.75
VV,College of Science,CHEM2317,19.75
WW,College of Science,CHEM3401,0.5
JJ,College of Science,CHEM3431,27.5
XX,College of Science,CHEM5620,4
YY,College of Science,CHEM5620,4.75
QQQQQQ,College of Social Sciences and Humanities,CHNS1101,43.5
RRRRRR,College of Social Sciences and Humanities,CHNS2101,10.75
QQQQQQ,College of Social Sciences and Humanities,CHNS2101,17
QQQQQQ,College of Social Sciences and Humanities,CHNS3102,0.75
G,"College of Arts, Media and Design",COMM1231,1
H,"College of Arts, Media and Design",COMM2301,3
I,"College of Arts, Media and Design",COMM2301,8.75
SSSSSS,College of Social Sciences and Humanities,CRIM1100,1.5
TTTTTT,College of Social Sciences and Humanities,CRIM1100,2.5
UUUUUU,College of Social Sciences and Humanities,CRIM1110,23.5
VVVVVV,College of Social Sciences and Humanities,CRIM3700,0.75
EEEEEEEEEEE,Khoury College of Computer Sciences,CS1100,35.5
FFFFFFFFFFF,Khoury College of Computer Sciences,CS1800,104.75
GGGGGGGGGGG,Khoury College of Computer Sciences,CS1800,3.5
EEEEEEEEEEE,Khoury College of Computer Sciences,CS1802,2
HHHHHHHHHHH,Khoury College of Computer Sciences,CS2500,4
IIIIIIIIIII,Khoury College of Computer Sciences,CS2500,42.5
JJJJJJJJJJJ,Khoury College of Computer Sciences,CS2500,20
KKKKKKKKKKK,Khoury College of Computer Sciences,CS2500,17.25
LLLLLLLLLLL,Khoury College of Computer Sciences,CS2500,12.25
LLLLLLLLLLL,Khoury College of Computer Sciences,CS2501,4
KKKKKKKKKKK,Khoury College of Computer Sciences,CS2510,16.5
MMMMMMMMMMM,Khoury College of Computer Sciences,CS2800,1
NNNNNNNNNNN,Khoury College of Computer Sciences,CS2810,9
OOOOOOOOOOO,Khoury College of Computer Sciences,CS3000,32
PPPPPPPPPPP,Khoury College of Computer Sciences,CS3000,44.25
QQQQQQQQQQQ,Khoury College of Computer Sciences,CS3200,1.5
RRRRRRRRRRR,Khoury College of Computer Sciences,CS3200,1
SSSSSSSSSSS,Khoury College of Computer Sciences,CS3500,22.25
TTTTTTTTTTT,Khoury College of Computer Sciences,CS3500,9
